N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"62,100",600,-0.96%,100,"3,707,235","5,969,783",50.69,"7,578,951",7.71,17.07,
2,LG에너지솔루션,"520,000","4,000",+0.78%,500,"1,216,800","234,000",5.33,"209,501",211.90,10.68,
3,SK하이닉스,"91,200","1,300",-1.41%,"5,000","663,938","728,002",51.30,"1,448,257",7.16,16.84,
4,삼성바이오로직스,"800,000","5,000",-0.62%,"2,500","569,392","71,174",10.72,"37,124",108.61,8.21,
5,LG화학,"687,000","20,000",+3.00%,"5,000","484,969","70,592",48.39,"219,398",24.17,18.47,
6,삼성SDI,"692,000",0,0.00%,"5,000","475,851","68,765",48.38,"156,724",28.38,8.45,
7,삼성전자우,"55,300",600,-1.07%,100,"455,056","822,887",71.92,"440,662",6.86,N/A,
8,현대차,"178,200",0,0.00%,"5,000","380,757","213,668",29.78,"452,636",7.95,6.84,
9,NAVER,"215,500","3,500",-1.60%,100,"353,526","164,049",47.67,"640,176",37.97,106.72,
10,기아,"76,600",300,+0.39%,"5,000","310,508","405,363",36.65,"791,344",6.72,14.69,
11,POSCO홀딩스,"346,000",0,0.00%,"5,000","292,616","84,571",51.07,"711,885",5.66,13.97,
12,카카오,"63,100","1,100",-1.71%,100,"281,119","445,514",26.21,"1,631,405",18.09,17.10,
13,셀트리온,"154,800","2,200",-1.40%,"1,000","217,989","140,819",21.00,"399,098",38.14,16.04,
14,삼성물산,"114,900",400,-0.35%,100,"214,733","186,887",16.97,"283,540",12.14,5.40,
15,KB금융,"50,600",100,-0.20%,"5,000","206,902","408,897",73.64,"1,262,961",4.48,9.80,
16,현대모비스,"215,000","1,500",+0.70%,"5,000","202,713","94,285",36.12,"154,930",8.49,6.87,
17,신한지주,"39,050",250,+0.64%,"5,000","198,680","508,785",63.52,"1,068,123",4.35,8.80,
18,LG전자,"114,000",700,+0.62%,"5,000","186,558","163,648",26.67,"731,463",13.04,6.32,
19,포스코케미칼,"223,000","6,000",+2.76%,500,"172,743","77,463",7.57,"1,128,063",107.42,7.92,
